,10
20,6.0
21,11.0
22,22.0
23,28.0
0,25.0
1,21.0
2,25.0
3,24.0
4,23.0
5,18.0
6,20.0
7,14.0
8,7.0
9,17.0
10,31.0
11,44.0
12,43.0
13,46.0
14,36.0
15,36.0
16,29.0
17,32.0
18,33.0
19,30.0
20,40.0
21,36.0
22,46.0
23,41.0
0,48.0
1,56.0
2,62.0
3,52.0
4,40.0
5,32.0
6,37.0
7,31.0
8,34.0
9,32.0
10,33.0
11,31.0
12,21.0
13,20.0
14,19.0
15,24.0
16,25.0
17,14.0
18,16.0
19,22.0
20,23.0
21,18.0
22,6.0
23,9.0
0,10.0
1,10.0
2,10.0
3,13.0
4,18.0
5,16.0
6,7.0
7,5.0
8,2.0
9,11.0
10,8.0
11,21.0
12,17.0
13,23.0
14,18.0
15,29.0
16,38.0
17,43.0
18,44.0
19,48.0
20,47.0
21,36.0
22,25.0
23,23.0
0,29.0
1,23.0
2,21.0
3,21.0
4,30.0
5,26.0
6,26.0
7,26.0
8,23.0
9,16.0
10,4.0
11,6.0
12,6.0
13,8.0
14,10.0
15,6.0
16,4.0
17,7.0
18,14.0
19,20.0
20,17.0
21,14.0
22,13.0
23,9.0
0,9.0
1,4.0
2,8.0
3,5.0
4,14.0
5,11.0
6,13.0
7,4.0
8,9.0
9,15.0
10,23.0
11,23.0
12,18.0
13,10.0
14,4.0
15,13.0
16,14.0
17,18.0
18,20.0
19,25.0
20,24.0
21,14.0
22,15.0
23,22.0
0,24.0
1,16.0
2,7.0
3,7.0
4,6.0
5,5.0
6,2.0
7,17.0
8,15.0
9,33.0
10,25.0
11,30.0
12,15.0
13,20.0
14,30.0
15,41.0
16,38.0
17,34.0
18,27.0
19,26.0
20,27.0
21,22.0
22,28.0
23,29.0
0,27.0
1,25.0
2,22.0
3,23.0
4,22.0
5,22.0
6,23.0
7,11.0
8,2.0
9,18.0
10,31.0
11,36.0
12,22.0
13,22.0
14,16.0
15,20.0
16,16.0
17,34.0
18,32.0
19,27.0
20,17.0
21,22.0
22,24.0
23,17.0
0,17.0
1,26.0
2,25.0
3,24.0
4,10.0
5,7.0
6,11.0
7,16.0
8,19.0
9,9.0
10,8.0
11,6.0
12,32.0
13,50.0
14,81.0
15,90.0
16,109.0
17,109.0
18,105.0
19,102.0
20,106.0
21,107.0
22,92.0
23,80.0
0,64.0
1,52.0
2,36.0
3,41.0
4,46.0
5,48.0
6,38.0
7,21.0
8,11.0
9,11.0
10,40.0
11,64.0
12,75.0
13,62.0
14,50.0
15,57.0
16,66.0
17,72.0
18,77.0
19,72.0
20,75.0
21,72.0
22,69.0
23,62.0
0,61.0
1,59.0
2,60.0
3,48.0
4,53.0
5,60.0
6,66.0
7,53.0
8,55.0
9,57.0
10,57.0
11,51.0
12,46.0
13,-1.0
14,51.0
15,47.0
16,44.0
17,46.0
18,46.0
19,39.0
20,18.0
21,19.0
22,23.0
23,34.0
9,21.0
10,32.0
11,30.0
12,36.0
13,26.0
14,21.0
15,19.0
16,19.0
17,19.0
18,18.0
19,27.0
20,37.0
21,39.0
22,31.0
23,25.0
0,22.0
1,20.0
2,13.0
3,8.0
4,15.0
5,13.0
6,22.0
7,19.0
8,23.0
9,15.0
10,17.0
11,13.0
12,21.0
13,22.0
14,33.0
15,28.0
16,25.0
17,21.0
18,23.0
19,27.0
20,29.0
21,30.0
22,31.0
23,29.0
0,31.0
1,26.0
2,17.0
3,13.0
4,18.0
5,29.0
6,22.0
7,21.0
8,23.0
9,34.0
10,32.0
11,24.0
12,23.0
13,28.0
14,30.0
15,32.0
16,24.0
17,27.0
18,17.0
19,20.0
20,20.0
21,29.0
22,25.0
23,25.0
0,22.0
1,27.0
2,22.0
3,31.0
4,32.0
5,35.0
6,25.0
7,14.0
8,7.0
9,0.0
10,2.0
11,7.0
12,11.0
13,7.0
14,8.0
15,12.0
16,15.0
17,17.0
18,9.0
19,11.0
20,5.0
21,7.0
22,5.0
23,9.0
0,6.0
1,6.0
2,4.0
3,4.0
4,0.0
5,0.0
6,0.0
7,2.0
8,2.0
9,2.0
10,8.0
11,8.0
12,8.0
13,20.0
14,28.0
15,36.0
16,23.0
17,21.0
18,25.0
19,16.0
20,19.0
21,17.0
22,18.0
23,12.0
0,13.0
1,22.0
2,29.0
3,21.0
4,21.0
5,14.0
6,16.0
7,6.0
8,11.0
9,10.0
10,14.0
11,8.0
12,23.0
13,21.0
14,29.0
15,29.0
16,34.0
17,39.0
18,40.0
19,52.0
20,50.0
21,50.0
22,40.0
23,43.0
0,46.0
1,44.0
2,38.0
3,36.0
4,23.0
5,19.0
6,7.0
7,21.0
8,20.0
9,25.0
10,16.0
11,18.0
12,20.0
13,25.0
14,24.0
15,25.0
16,27.0
17,24.0
18,23.0
19,20.0
20,28.0
21,41.0
22,34.0
23,39.0
0,32.0
1,35.0
2,25.0
3,13.0
4,12.0
5,7.0
6,7.0
7,6.0
8,7.0
9,9.0
10,6.0
11,6.0
12,4.0
13,6.0
14,7.0
15,15.0
16,12.0
17,7.0
18,0.0
19,3.0
20,5.0
21,9.0
22,4.0
23,8.0
0,4.0
1,6.0
2,0.0
3,0.0
4,0.0
5,7.0
6,7.0
7,5.0
8,7.0
9,10.0
10,10.0
11,3.0
12,0.0
13,0.0
14,11.0
15,12.0
16,12.0
17,2.0
18,6.0
19,6.0
20,4.0
21,0.0
22,1.0
23,0.0
0,0.0
1,0.0
2,4.0
3,4.0
4,8.0
5,9.0
6,13.0
7,10.0
8,4.0
9,0.0
10,5.0
11,5.0
12,5.0
13,4.0
14,3.0
15,11.0
16,7.0
17,15.0
18,8.0
19,19.0
20,10.0
21,9.0
22,3.0
23,3.0
0,4.0
1,0.0
2,2.0
3,1.0
4,11.0
5,13.0
6,13.0
7,15.0
8,17.0
9,23.0
10,20.0
11,15.0
12,12.0
13,9.0
14,6.0
15,4.0
16,4.0
17,6.0
18,6.0
19,7.0
20,8.0
21,8.0
22,13.0
23,4.0
0,12.0
1,7.0
2,7.0
3,1.0
4,0.0
5,0.0
6,1.0
7,4.0
8,6.0
9,4.0
10,1.0
11,6.0
12,9.0
13,9.0
14,6.0
15,14.0
16,14.0
17,78.0
18,45.0
19,37.0
20,13.0
21,12.0
22,5.0
23,11.0
0,8.0
1,8.0
2,4.0
3,10.0
4,10.0
5,5.0
6,1.0
7,3.0
8,4.0
9,1.0
10,0.0
11,4.0
12,10.0
13,10.0
14,17.0
15,14.0
16,19.0
17,11.0
18,16.0
19,21.0
20,21.0
21,21.0
22,19.0
23,19.0
0,11.0
1,6.0
2,1.0
3,1.0
4,10.0
5,16.0
6,19.0
7,7.0
8,4.0
9,6.0
10,16.0
11,13.0
12,9.0
13,6.0
14,14.0
15,18.0
16,17.0
17,14.0
18,18.0
19,22.0
20,32.0
21,31.0
22,29.0
23,25.0
0,26.0
1,17.0
2,7.0
3,1.0
4,1.0
5,2.0
6,5.0
7,6.0
8,8.0
9,3.0
10,5.0
11,17.0
12,19.0
13,22.0
14,10.0
15,19.0
16,19.0
17,19.0
18,17.0
19,19.0
20,26.0
21,26.0
22,37.0
23,38.0
0,46.0
1,38.0
2,34.0
3,27.0
4,21.0
5,25.0
6,25.0
7,23.0
8,21.0
9,21.0
10,22.0
11,23.0
12,26.0
13,30.0
14,42.0
15,49.0
16,52.0
17,51.0
18,50.0
19,48.0
20,51.0
21,49.0
22,52.0
23,46.0
0,42.0
1,39.0
2,29.0
3,35.0
4,32.0
5,38.0
6,23.0
7,21.0
8,13.0
9,19.0
10,14.0
11,14.0
12,9.0
13,21.0
14,21.0
15,34.0
16,31.0
17,33.0
18,25.0
19,25.0
20,24.0
21,34.0
22,48.0
23,62.0
0,65.0
1,61.0
2,57.0
3,46.0
4,27.0
5,14.0
6,5.0
7,4.0
8,11.0
9,21.0
10,36.0
11,35.0
12,54.0
13,54.0
14,59.0
15,47.0
16,49.0
17,43.0
18,35.0
19,18.0
20,9.0
21,0.0
22,0.0
23,1.0
0,2.0
1,2.0
2,0.0
3,0.0
4,0.0
5,5.0
6,5.0
7,10.0
8,10.0
9,10.0
10,6.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,7.0
19,7.0
20,9.0
21,7.0
22,12.0
23,23.0
0,27.0
1,25.0
2,16.0
3,12.0
4,10.0
5,9.0
6,12.0
7,11.0
8,16.0
9,14.0
10,20.0
11,18.0
12,9.0
13,6.0
14,12.0
15,12.0
16,32.0
17,32.0
18,40.0
19,27.0
20,41.0
21,35.0
22,38.0
23,34.0
9,32.0
10,37.0
11,34.0
12,30.0
13,40.0
14,39.0
15,35.0
16,30.0
17,31.0
18,35.0
19,33.0
20,37.0
21,43.0
22,47.0
23,51.0
0,51.0
1,62.0
2,61.0
3,47.0
4,21.0
5,2.0
6,0.0
7,2.0
8,2.0
9,2.0
10,1.0
11,1.0
12,4.0
13,7.0
14,9.0
15,8.0
16,5.0
17,11.0
18,15.0
19,16.0
20,16.0
21,14.0
22,11.0
23,3.0
0,0.0
1,2.0
2,3.0
3,3.0
4,0.0
5,1.0
6,1.0
7,7.0
8,10.0
9,18.0
10,25.0
11,32.0
12,35.0
13,24.0
14,11.0
15,9.0
16,19.0
17,23.0
18,22.0
19,18.0
20,18.0
21,13.0
22,13.0
23,21.0
0,24.0
1,26.0
2,19.0
3,20.0
4,20.0
5,22.0
6,26.0
7,29.0
8,37.0
9,37.0
10,39.0
11,38.0
12,41.0
13,47.0
14,52.0
15,56.0
16,60.0
17,60.0
18,59.0
19,49.0
20,32.0
21,24.0
22,21.0
23,34.0
0,28.0
1,19.0
2,9.0
3,3.0
4,2.0
5,1.0
6,5.0
7,5.0
8,6.0
9,7.0
10,7.0
11,9.0
12,3.0
13,3.0
14,2.0
15,4.0
16,5.0
17,4.0
18,10.0
19,18.0
20,17.0
21,17.0
22,9.0
23,13.0
0,5.0
1,9.0
2,2.0
3,4.0
4,0.0
5,0.0
6,0.0
7,6.0
8,8.0
9,14.0
10,16.0
11,16.0
12,24.0
13,20.0
14,24.0
15,29.0
16,41.0
17,32.0
18,23.0
19,10.0
20,6.0
21,1.0
22,0.0
23,1.0
0,4.0
1,7.0
2,10.0
3,8.0
4,5.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,13.0
13,15.0
14,21.0
15,15.0
16,18.0
17,19.0
18,20.0
19,24.0
20,17.0
21,21.0
22,21.0
23,29.0
0,23.0
1,21.0
2,20.0
3,18.0
4,26.0
5,20.0
6,21.0
7,9.0
8,8.0
9,18.0
10,28.0
11,37.0
12,21.0
13,9.0
14,2.0
15,6.0
16,11.0
17,18.0
18,18.0
19,12.0
20,2.0
21,0.0
22,0.0
23,0.0
0,4.0
1,4.0
2,6.0
3,1.0
4,1.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,1.0
12,9.0
13,15.0
14,13.0
15,8.0
16,6.0
17,11.0
18,14.0
19,19.0
20,14.0
21,10.0
22,6.0
23,10.0
0,9.0
1,4.0
2,4.0
3,7.0
4,7.0
5,4.0
6,1.0
7,14.0
8,24.0
9,31.0
10,31.0
11,31.0
12,33.0
13,36.0
14,51.0
15,70.0
16,86.0
17,86.0
18,74.0
19,70.0
20,77.0
21,85.0
22,78.0
23,68.0
0,62.0
1,63.0
2,64.0
3,61.0
4,57.0
5,43.0
6,34.0
7,26.0
8,26.0
9,36.0
10,53.0
11,54.0
12,59.0
13,61.0
14,69.0
15,66.0
16,66.0
17,73.0
18,71.0
19,60.0
20,44.0
21,45.0
22,44.0
23,49.0
0,46.0
1,46.0
2,37.0
3,28.0
4,32.0
5,42.0
6,42.0
7,49.0
8,57.0
9,80.0
10,93.0
11,75.0
12,54.0
13,28.0
14,31.0
15,47.0
16,69.0
17,97.0
18,98.0
19,94.0
20,85.0
21,68.0
22,49.0
23,16.0
0,6.0
1,5.0
2,18.0
3,19.0
4,14.0
5,7.0
6,7.0
7,13.0
8,7.0
9,5.0
10,3.0
11,4.0
12,7.0
13,6.0
14,6.0
15,3.0
16,1.0
17,0.0
18,0.0
19,0.0
20,5.0
21,10.0
22,10.0
23,8.0
0,7.0
1,19.0
2,23.0
3,34.0
4,34.0
5,41.0
6,39.0
7,40.0
8,48.0
9,47.0
10,44.0
11,34.0
12,40.0
13,42.0
14,48.0
15,39.0
16,37.0
17,28.0
18,36.0
19,41.0
20,36.0
21,24.0
22,19.0
23,34.0
0,36.0
1,37.0
2,37.0
3,40.0
4,47.0
5,48.0
6,62.0
7,72.0
8,76.0
9,78.0
10,70.0
11,62.0
12,49.0
13,47.0
14,52.0
15,62.0
16,59.0
17,59.0
18,61.0
19,68.0
20,69.0
21,57.0
22,49.0
23,45.0
0,58.0
1,54.0
2,52.0
3,43.0
4,39.0
5,27.0
6,27.0
7,36.0
8,56.0
9,62.0
10,65.0
11,62.0
12,70.0
13,67.0
14,67.0
15,62.0
16,61.0
17,60.0
18,54.0
19,61.0
20,61.0
21,61.0
22,47.0
23,45.0
0,27.0
1,16.0
2,8.0
3,15.0
4,21.0
5,27.0
6,25.0
7,34.0
8,34.0
9,45.0
10,55.0
11,61.0
12,70.0
13,76.0
14,71.0
15,56.0
16,43.0
17,51.0
18,51.0
19,52.0
20,45.0
21,48.0
22,40.0
23,34.0
0,26.0
1,25.0
2,21.0
3,16.0
4,19.0
5,18.0
6,16.0
7,4.0
8,13.0
9,29.0
10,49.0
11,49.0
12,57.0
13,51.0
14,44.0
15,42.0
16,48.0
17,50.0
18,44.0
19,40.0
20,45.0
21,44.0
22,43.0
23,34.0
0,40.0
1,44.0
2,46.0
3,44.0
4,43.0
5,51.0
6,53.0
7,50.0
8,51.0
9,57.0
10,71.0
11,64.0
12,62.0
13,51.0
14,52.0
15,47.0
16,53.0
17,59.0
18,73.0
19,74.0
20,83.0
21,82.0
22,70.0
23,51.0
0,23.0
1,22.0
2,51.0
3,51.0
4,51.0
5,51.0
6,50.0
7,40.0
8,46.0
9,47.0
10,50.0
11,45.0
12,32.0
13,21.0
14,21.0
15,27.0
16,31.0
17,31.0
18,31.0
19,31.0
20,34.0
21,27.0
22,34.0
23,32.0
9,6.0
10,-1.0
11,16.0
12,18.0
13,24.0
14,21.0
15,20.0
16,16.0
17,17.0
18,21.0
19,27.0
20,22.0
21,22.0
22,14.0
23,15.0
0,17.0
1,16.0
2,11.0
3,3.0
4,0.0
5,0.0
6,1.0
7,1.0
8,1.0
9,0.0
10,8.0
11,15.0
12,26.0
13,24.0
14,29.0
15,33.0
16,38.0
17,41.0
18,36.0
19,41.0
20,33.0
21,37.0
22,31.0
23,39.0
0,50.0
1,45.0
2,29.0
3,4.0
4,0.0
5,13.0
6,24.0
7,28.0
8,27.0
9,28.0
10,37.0
11,37.0
12,42.0
13,38.0
14,49.0
15,54.0
16,66.0
17,68.0
18,56.0
19,46.0
20,32.0
21,36.0
22,33.0
23,22.0
0,9.0
1,3.0
2,8.0
3,20.0
4,19.0
5,23.0
6,16.0
7,19.0
8,19.0
9,23.0
10,18.0
11,14.0
12,6.0
13,21.0
14,28.0
15,39.0
16,30.0
17,31.0
18,39.0
19,52.0
20,49.0
21,33.0
22,24.0
23,24.0
0,29.0
1,36.0
2,39.0
3,41.0
4,41.0
5,40.0
6,42.0
7,46.0
8,54.0
9,59.0
10,57.0
11,60.0
12,64.0
13,66.0
14,58.0
15,44.0
16,35.0
17,36.0
18,37.0
19,45.0
20,44.0
21,47.0
22,42.0
23,41.0
0,41.0
1,38.0
2,31.0
3,22.0
4,21.0
5,19.0
6,16.0
7,22.0
8,29.0
9,41.0
10,49.0
11,61.0
12,72.0
13,71.0
14,72.0
15,62.0
16,68.0
17,61.0
18,57.0
19,48.0
20,54.0
21,61.0
22,62.0
23,58.0
0,57.0
1,57.0
2,60.0
3,57.0
4,52.0
5,54.0
6,53.0
7,51.0
8,45.0
9,35.0
10,21.0
11,6.0
12,0.0
13,5.0
14,14.0
15,16.0
16,14.0
17,4.0
18,8.0
19,14.0
20,16.0
21,14.0
22,11.0
23,11.0
0,15.0
1,9.0
2,13.0
3,6.0
4,9.0
5,8.0
6,7.0
7,8.0
8,13.0
9,13.0
10,-1.0
11,16.0
12,19.0
13,30.0
14,35.0
15,24.0
16,21.0
17,17.0
18,26.0
19,24.0
20,25.0
21,26.0
22,21.0
23,16.0
0,16.0
1,19.0
2,12.0
3,12.0
4,9.0
5,20.0
6,23.0
7,27.0
8,28.0
9,35.0
10,50.0
11,52.0
12,39.0
13,22.0
14,26.0
15,26.0
16,44.0
17,39.0
18,38.0
19,28.0
20,24.0
21,27.0
22,26.0
23,19.0
0,13.0
1,16.0
2,23.0
3,27.0
4,19.0
5,17.0
6,16.0
7,14.0
8,12.0
9,12.0
10,21.0
11,23.0
12,25.0
13,21.0
14,28.0
15,17.0
16,21.0
17,23.0
18,27.0
19,19.0
20,10.0
21,14.0
22,19.0
23,26.0
0,27.0
1,28.0
2,29.0
3,30.0
4,31.0
5,35.0
6,43.0
7,54.0
8,54.0
9,59.0
10,68.0
11,70.0
12,67.0
13,55.0
14,46.0
15,39.0
16,39.0
17,39.0
18,41.0
19,32.0
20,34.0
21,34.0
22,39.0
23,33.0
0,29.0
1,31.0
2,30.0
3,29.0
4,24.0
5,24.0
6,27.0
7,33.0
8,40.0
9,43.0
10,37.0
11,37.0
12,32.0
13,31.0
14,25.0
15,33.0
16,36.0
17,41.0
18,37.0
19,31.0
20,32.0
21,29.0
22,23.0
23,25.0
0,26.0
1,39.0
2,39.0
3,37.0
4,36.0
5,29.0
6,34.0
7,33.0
8,36.0
9,34.0
10,26.0
11,23.0
12,21.0
13,30.0
14,25.0
15,31.0
16,27.0
17,31.0
18,19.0
19,16.0
20,12.0
21,22.0
22,24.0
23,39.0
0,37.0
1,42.0
2,26.0
3,22.0
4,11.0
5,14.0
6,11.0
7,19.0
8,21.0
9,24.0
10,14.0
11,9.0
12,2.0
13,6.0
14,9.0
15,20.0
16,25.0
17,29.0
18,25.0
19,22.0
20,16.0
21,10.0
22,15.0
23,22.0
0,22.0
1,19.0
2,15.0
3,24.0
4,29.0
5,34.0
6,33.0
7,34.0
8,35.0
9,41.0
10,42.0
11,50.0
12,55.0
13,56.0
14,55.0
15,-1.0
16,48.0
17,45.0
18,35.0
19,38.0
20,48.0
21,44.0
22,32.0
23,17.0
0,22.0
1,23.0
2,30.0
3,25.0
4,25.0
5,17.0
6,17.0
7,25.0
8,32.0
9,33.0
10,34.0
11,31.0
12,38.0
13,42.0
14,46.0
15,44.0
16,38.0
17,43.0
18,48.0
19,49.0
20,50.0
21,42.0
22,38.0
23,29.0
0,23.0
1,21.0
2,24.0
3,29.0
4,31.0
5,29.0
6,22.0
7,19.0
8,14.0
9,15.0
10,16.0
11,21.0
12,24.0
13,32.0
14,29.0
15,30.0
16,22.0
17,26.0
18,31.0
19,33.0
20,33.0
21,19.0
22,19.0
23,20.0
0,31.0
1,20.0
2,20.0
3,20.0
4,20.0
5,20.0
6,16.0
7,17.0
8,28.0
9,33.0
10,35.0
11,30.0
12,24.0
13,24.0
14,23.0
15,28.0
16,39.0
17,35.0
18,34.0
19,19.0
20,23.0
21,21.0
22,22.0
23,13.0
0,17.0
1,23.0
2,31.0
3,24.0
4,21.0
5,26.0
6,29.0
7,35.0
8,31.0
9,41.0
10,45.0
11,52.0
12,46.0
13,44.0
14,40.0
15,41.0
16,42.0
17,40.0
18,40.0
19,23.0
20,21.0
21,14.0
22,26.0
23,21.0
0,27.0
1,22.0
2,33.0
3,31.0
4,23.0
5,16.0
6,21.0
7,29.0
8,30.0
9,27.0
10,36.0
11,37.0
12,33.0
13,24.0
14,19.0
15,19.0
16,16.0
17,22.0
18,35.0
19,47.0
20,52.0
21,40.0
22,37.0
23,37.0
9,29.0
10,29.0
11,36.0
12,32.0
13,41.0
14,36.0
15,33.0
16,28.0
17,22.0
18,18.0
19,10.0
20,13.0
21,8.0
22,10.0
23,4.0
0,5.0
1,9.0
2,9.0
3,9.0
4,9.0
5,9.0
6,4.0
7,0.0
8,0.0
9,11.0
10,11.0
11,19.0
12,22.0
13,28.0
14,31.0
15,34.0
16,36.0
17,25.0
18,12.0
19,4.0
20,6.0
21,11.0
22,18.0
23,21.0
0,10.0
1,9.0
2,8.0
3,14.0
4,13.0
5,13.0
6,7.0
7,2.0
8,2.0
9,7.0
10,13.0
11,26.0
12,46.0
13,60.0
14,57.0
15,51.0
16,42.0
17,36.0
18,32.0
19,23.0
20,28.0
21,20.0
22,24.0
23,19.0
0,21.0
1,20.0
2,12.0
3,3.0
4,7.0
5,7.0
6,10.0
7,12.0
8,12.0
9,10.0
10,8.0
11,20.0
12,38.0
13,36.0
14,33.0
15,24.0
16,19.0
17,25.0
18,26.0
19,38.0
20,29.0
21,30.0
22,16.0
23,14.0
0,11.0
1,14.0
2,10.0
3,4.0
4,4.0
5,11.0
6,11.0
7,5.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,1.0
15,3.0
16,3.0
17,5.0
18,4.0
19,7.0
20,2.0
21,2.0
22,2.0
23,2.0
0,2.0
1,-1.0
2,-1.0
3,-1.0
4,4.0
5,7.0
6,14.0
7,8.0
8,5.0
9,-1.0
10,0.0
11,7.0
12,16.0
13,15.0
14,9.0
15,3.0
16,14.0
17,13.0
18,10.0
19,-1.0
20,-1.0
21,-1.0
22,9.0
23,9.0
0,9.0
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,2.0
13,9.0
14,9.0
15,15.0
16,15.0
17,9.0
18,19.0
19,17.0
20,24.0
21,19.0
22,21.0
23,14.0
0,10.0
1,3.0
2,9.0
3,15.0
4,23.0
5,17.0
6,11.0
7,9.0
8,8.0
9,6.0
10,0.0
11,11.0
12,18.0
13,25.0
14,20.0
15,23.0
16,23.0
17,17.0
18,18.0
19,14.0
20,16.0
21,14.0
22,9.0
23,6.0
0,5.0
1,6.0
2,5.0
3,0.0
4,0.0
5,9.0
6,33.0
7,39.0
8,44.0
9,34.0
10,39.0
11,31.0
12,16.0
13,24.0
14,32.0
15,57.0
16,59.0
17,57.0
18,39.0
19,27.0
20,26.0
21,38.0
22,42.0
23,44.0
0,39.0
1,39.0
2,34.0
3,20.0
4,9.0
5,1.0
6,9.0
7,9.0
8,14.0
9,6.0
10,3.0
11,0.0
12,6.0
13,17.0
14,34.0
15,35.0
16,31.0
17,17.0
18,19.0
19,14.0
20,12.0
21,4.0
22,9.0
23,11.0
0,9.0
1,2.0
2,0.0
3,0.0
4,2.0
5,11.0
6,13.0
7,9.0
8,2.0
9,0.0
10,0.0
11,0.0
12,6.0
13,10.0
14,10.0
15,9.0
16,7.0
17,19.0
18,27.0
19,37.0
20,26.0
21,12.0
22,9.0
23,17.0
0,17.0
1,8.0
2,0.0
3,0.0
4,0.0
5,9.0
6,7.0
7,9.0
8,0.0
9,0.0
10,3.0
11,3.0
12,3.0
13,0.0
14,8.0
15,16.0
16,23.0
17,16.0
18,11.0
19,6.0
20,8.0
21,6.0
22,8.0
23,9.0
0,8.0
1,9.0
2,6.0
3,6.0
4,1.0
5,4.0
6,4.0
7,1.0
8,0.0
9,0.0
10,-1.0
11,-1.0
12,4.0
13,7.0
14,7.0
15,4.0
16,5.0
17,14.0
18,14.0
19,7.0
20,0.0
21,6.0
22,6.0
23,6.0
0,0.0
1,0.0
2,2.0
3,9.0
4,8.0
5,6.0
6,0.0
7,6.0
8,15.0
9,16.0
10,16.0
11,10.0
12,11.0
13,14.0
14,14.0
15,13.0
16,5.0
17,2.0
18,4.0
19,1.0
20,7.0
21,5.0
22,6.0
23,6.0
0,16.0
1,21.0
2,18.0
3,4.0
4,4.0
5,4.0
6,0.0
7,5.0
8,6.0
9,6.0
10,0.0
11,5.0
12,5.0
13,8.0
14,2.0
15,2.0
16,0.0
17,6.0
18,6.0
19,5.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,1.0
4,1.0
5,9.0
6,13.0
7,13.0
8,15.0
9,9.0
10,15.0
11,5.0
12,10.0
13,15.0
14,29.0
15,35.0
16,38.0
17,39.0
18,42.0
19,32.0
20,23.0
21,14.0
22,11.0
23,5.0
0,1.0
1,1.0
2,1.0
3,1.0
4,2.0
5,2.0
6,0.0
7,4.0
8,7.0
9,14.0
10,12.0
11,9.0
12,6.0
13,2.0
14,10.0
15,24.0
16,27.0
17,29.0
18,16.0
19,18.0
20,9.0
21,20.0
22,18.0
23,26.0
0,19.0
1,22.0
2,17.0
3,14.0
4,8.0
5,11.0
6,9.0
7,20.0
8,12.0
9,12.0
10,1.0
11,3.0
12,0.0
13,3.0
14,11.0
15,11.0
16,8.0
17,1.0
18,1.0
19,1.0
20,0.0
21,0.0
22,0.0
23,0.0
0,4.0
1,4.0
2,5.0
3,9.0
4,9.0
5,9.0
6,0.0
7,0.0
8,3.0
9,8.0
10,11.0
11,6.0
12,2.0
13,2.0
14,7.0
15,7.0
16,4.0
17,3.0
18,6.0
19,9.0
